,Date,Address,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,dayofyear,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,weight_1,weight_2,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,1week_halfmile,1week_1mile,1week_5mile,1month_halfmile,1month_1mile,1month_5mile,1quarter_halfmile,1quarter_1mile,1quarter_5mile
0,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,149,0,0,1,0,0,0,0,0.7073233159620111,0.29267668403798874,88.0,63.53661657981005,76.12196994788603,2.926766840379887,58.707323315962,65.707323315962,0.0,11.121969947886033,0.0,0.0,0.0,29.4253661657981,30.095853533680756,5.8,16.585353368075975,7.13659098436581,0,0,1,0,0,1,0,0,1
1,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,149,0,0,0,1,0,0,0,0.7073233159620111,0.29267668403798874,88.0,63.53661657981005,76.12196994788603,2.926766840379887,58.707323315962,65.707323315962,0.0,11.121969947886033,0.0,0.0,0.0,29.4253661657981,30.095853533680756,5.8,16.585353368075975,7.13659098436581,0,0,1,0,0,1,0,0,1
2,2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",11, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0,149,0,0,0,1,0,0,0,0.7098586008553537,0.2901413991446464,88.0,63.54929300427678,76.12957580256607,2.901413991446464,58.709858600855355,65.70985860085536,0.0,11.129575802566062,0.0,0.0,0.0,29.425492930042772,30.095802827982894,5.800000000000001,16.580282798289293,7.138872740769818,0,0,1,0,0,1,0,0,1
3,2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,149,0,0,0,1,0,0,0,0.6680183077909071,0.3319816922090929,88.0,63.34009153895454,76.00405492337272,3.3198169220909293,58.6680183077909,65.6680183077909,0.0,11.004054923372722,0.0,0.0,0.0,29.423400915389543,30.096639633844184,5.8,16.663963384418185,7.101216477011816,0,0,1,0,0,1,0,0,1
4,2007-05-29,"1500 North Long Avenue, Chicago, IL 60651, USA",15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,1,0,149,0,0,0,1,0,0,0,0.6136758587111996,0.38632414128880044,88.0,63.06837929355599,75.8410275761336,3.863241412888004,58.6136758587112,65.6136758587112,0.0,10.841027576133598,0.0,0.0,0.0,29.420683792935563,30.097726482825777,5.8,16.7726482825776,7.052308272840079,1,1,1,1,1,1,1,1,1
5,2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,149,0,0,0,1,0,0,0,0.6333930953177446,0.3666069046822554,88.0,63.166965476588715,75.90017928595323,3.6660690468225536,58.63339309531774,65.63339309531774,0.0,10.900179285953232,0.0,0.0,0.0,29.421669654765886,30.097332138093645,5.799999999999999,16.73321380936451,7.070053785785969,0,1,1,0,1,1,0,1,1
6,2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,3,0,149,0,0,0,1,0,0,0,0.7798876929146804,0.22011230708531954,88.0,63.89943846457339,76.33966307874404,2.2011230708531953,58.77988769291468,65.77988769291468,0.0,11.33966307874404,0.0,0.0,0.0,29.428994384645733,30.094402246141705,5.799999999999999,16.44022461417064,7.2018989236232125,1,1,1,1,1,1,1,1,1
7,2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,149,0,0,1,0,0,0,0,0.63338033389947,0.36661966610053,88.0,63.16690166949735,75.90014100169842,3.6661966610052996,58.63338033389947,65.63338033389947,0.0,10.90014100169841,0.0,0.0,0.0,29.421669016694977,30.097332393322013,5.8,16.73323933220106,7.070042300509523,1,1,1,1,1,1,1,1,1
8,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,149,0,0,1,0,0,0,0,0.6310866790858984,0.36891332091410145,88.0,63.15543339542948,75.89326003725769,3.6891332091410147,58.6310866790859,65.63108667908588,0.0,10.893260037257694,0.0,0.0,0.0,29.42155433395429,30.09737826641828,5.799999999999999,16.7378266418282,7.067978011177308,0,0,1,0,0,1,0,0,1
9,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,149,0,0,0,1,0,0,0,0.6310866790858984,0.36891332091410145,88.0,63.15543339542948,75.89326003725769,3.6891332091410147,58.6310866790859,65.63108667908588,0.0,10.893260037257694,0.0,0.0,0.0,29.42155433395429,30.09737826641828,5.799999999999999,16.7378266418282,7.067978011177308,0,0,1,0,0,1,0,0,1
